X,Y,ConsentNo,ConsentType,ConsentSource,ConsentStatus,,FeatureType,,ActivityText,EstAllocation,EstMethod,MaxRate,MaxVolume,consecDays,NZTMX,NZTMY
1627384.673,5279846.244,CRC961301.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,202850,,22.8,1886,1,1627384,5279846
1370416.932,5095052.916,CRC154327,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,207367,,18,18144,14,1370416,5095052
1534711.606,5190683.397,CRC981363.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,313270,,34,2938,1,1534711,5190683
1546709.442,5163992.626,CRC154618,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,222944,,15,1242,1,1546709,5163992
1591062.153,5153920.334,CRC030677,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,7055,,3,600,14,1591062,5153920
1421574.45,5043670.356,CRC084608,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,165620,,5.3,3185,7,1421574,5043670
1568210.335,5204389.13,CRC960919.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,140600,,11,911,1,1568210,5204389
1623044.865,5269060.79,CRC020727.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,381774,,37,,,1623044,5269060
1637724.765,5306170.325,CRC150771,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,398930,,30,38880,15,1637724,5306170
1399280.967,5031353.127,CRC180571,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,194261,,17,24590,20,1399280,5031353
1603492.649,5272435.996,CRC981249.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1696088,,385,199584,17,1603492,5272435
1617879.839,5252649.625,CRC145402,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,1087500,,50,4320,1,1617879,5252649
1468041.926,5103690.981,CRC153461,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,718557,,90,89424,12,1468041,5103690
1491322.138,5207278.492,CRC180219,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,20,1728,1,1491322,5207278
1418467.317,5122110.592,CRC176495,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,725000,,28,2420,1,1418467,5122110
1562702.277,5202180.01,CRC990565.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,317776,,20,22176,14,1562702,5202180
1483481.7,5108828.284,CRC147438,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,251940,,29,2401,1,1483481,5108828
1419399.774,5030389.211,CRC180565,Water Permit (s14),Notice of Review,Issued - Active,,Water Take/Use,,Take Surface Water,1249136,,104,44928,5,1419399,5030389
1391439.446,5045320.163,CRC022184.3,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1511025,,56,2419,1,1391439,5045320
1607331.343,5273311.21,CRC990668,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,305925,,30,40392,17,1607331,5273311
1602962.789,5271982.222,CRC040130.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,698389,,70,,,1602962,5271982
1438239.585,5116980.253,CRC151081,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,1325,114480,1,1438239,5116980
1359724.156,5070778.975,CRC011674.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,166576,,34,14688,15,1359724,5070778
1574597.997,5205178.726,CRC971659.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,42964,,30,5184,21,1574597,5205178
1566201,5194122.867,CRC000055,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,381446,,30,34776,14,1566201,5194122
1464341.757,5105489.467,CRC176607,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,71500,,8,7344,15,1464341,5105489
1500420.788,5223874.931,CRC940033A.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,0.8,65,1,1500420,5223874
1548727.04,5204769.273,CRC020398,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,48485,,15,3240,9,1548727,5204769
1403885.069,5026896.018,CRC084382,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,78840,,2.5,1512,7,1403885,5026896
1464440.519,5109089.082,CRC962388.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,371561,,76,54173,14,1464440,5109089
1594490.385,5156899.142,CRC012906,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,28218,,5,180,1,1594490,5156899
1455594.776,5132383.429,CRC173644,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,19776960,,1526,,,1455594,5132383
1468452.674,5107151.66,CRC970883.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,104544,,38,10835,10,1468452,5107151
1403349.64,5048258.663,CRC030278,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,34019,,5,3024,14,1403349,5048258
1391439.446,5045320.163,CRC022184.3,Water Permit (s14),Part Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,1511025,,56,2419,1,1391439,5045320
1595423.677,5265557.323,CRC166624,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,186840,,21,,,1595423,5265557
1450301.294,5110424.287,CRC100883,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,748783,,61.5,5315,1,1450301,5110424
1445246.273,5097283.009,CRC992793,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,0,,64,36864,7,1445246,5097283
1488731.842,5125793.448,CRC951623,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,145976,,85,7500,7,1488731,5125793
1501330.282,5120997.763,CRC951563.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,0,,45,10800,7,1501330,5120997
1634281.94,5279045.557,CRC951825.3,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,9966,,2,87,1,1634281,5279045
1589382.8,5156109.215,CRC040171,Certif of Compliance (s14),New Certificate,Issued - Active,,Water Take/Use,,Take Surface Water,0,,0.1,6,7,1589382,5156109
1558705.024,5165093.257,CRC930611.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,92081,,10.5,604,1,1558705,5165093
1459340.789,5109887.314,CRC991274.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,178027,,45,36286,20,1459340,5109887
1418477.387,5122124.636,CRC176495,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,725000,,28,2420,1,1418477,5122124
1648860.786,5306993.322,CRC992762.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,257983,,34,1900,1,1648860,5306993
1465641.916,5104590.026,CRC153401,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,123854,,61,57974,12,1465641,5104590
1464326.582,5092581.001,CRC052551.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,47316,,20,5184,15,1464326,5092581
1510948.073,5188982.826,CRC010904,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,390000,,18.9,1625,1,1510948,5188982
1419683.802,5030368.423,CRC180524,Water Permit (s14),Notice of Review,Issued - Active,,Water Take/Use,,Take Surface Water,907844,,295,25488,1,1419683,5030368
1350144.437,5062730.184,CRC960044.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,573365,,40,22176,7,1350144,5062730
1574438.06,5205308.681,CRC971340.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,57286,,10,396,1,1574438,5205308
1581928.439,5229563.495,CRC040869,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,207500,,73,2510,1,1581928,5229563
1568400.248,5203279.528,CRC990986.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,378212,,29,2401,1,1568400,5203279
1602533.473,5276110.777,CRC090297,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,59346,,5,280,1,1602533,5276110
1455241.507,5108796.041,CRC991963A.2,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,186607,,27,13670,7,1455241,5108796
1517986.051,5203389.484,CRC012237.4,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,2232210,,280,24192,1,1517986,5203389
1383556.903,5062149.319,CRC147556,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,278980,,17.5,21168,14,1383556,5062149
1364645.937,5071041.693,CRC961829,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,478286,,500,43200,1,1364645,5071041
1591791.88,5152800.905,CRC083180.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,7055,,2,42,1,1591791,5152800
1591791.88,5152800.905,CRC174538,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,19500,,0.7,14,1,1591791,5152800
1500730.585,5120397.752,CRC951565.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,141233,,28,7000,7,1500730,5120397
1439007.612,5054531.461,CRC980386,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,136965,,20,1728,1,1439007,5054531
1433575.501,5042328.411,CRC951287.2,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,174900,,27,1166,1,1433575,5042328
1489134.981,5113995.961,CRC971297.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,316746,,143,16360,7,1489134,5113995
1677878.9,5346635.173,CRC040105,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,33515,,2,2420,14,1677878,5346635
1654279.148,5308431.911,CRC940653.1,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,181521,,13.5,1070,1,1654279,5308431
1461139.862,5112187.676,CRC145661,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,39189,,32,3000,7,1461139,5112187
1617879.839,5252649.625,CRC145402,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,1087500,,40,3456,1,1617879,5252649
1421418.067,5070991.718,CRC940845,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,0,,1.6,138,1,1421418,5070991
1456605.506,5097397.441,CRC991958A,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,0,,38,29938,14,1456605,5097397
1453359.783,5066688.71,CRC146437,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,300886,,30,15000,7,1453359,5066688
1346562.734,5062748.141,CRC174080,Water Permit (s14),Change in Conditions,Issued - Active,,Water Take/Use,,Take Surface Water,450000,,37,3197,1,1346562,5062748
1405760.676,5063362.367,CRC950460.2,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,589201,,40,24200,7,1405760,5063362
1399280.967,5031353.127,CRC180571,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,194261,,17,24590,20,1399280,5031353
1573198.601,5208277.62,CRC971656.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,145496,,226,65090,30,1573198,5208277
1549708.718,5204633.315,CRC150446,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,272729,,30,21600,10,1549708,5204633
1408062.203,5061263.406,CRC950462.4,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,216701,,15,9100,7,1408062,5061263
1562403.816,5162494.538,CRC141389,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,249703,,58,50115,30,1562403,5162494
1450211.334,5110319.262,CRC100883,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,748783,,61.5,5315,1,1450211,5110319
1500230.838,5119897.742,CRC951608.1,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,365976,,37,42624,16,1500230,5119897
1467141.519,5105190.471,CRC970884.3,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,516056,,62.5,5400,1,1467141,5105190
1578797.158,5222572.208,CRC971432,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,9033,,0.8,23,1,1578797,5222572
1569415.651,5204921.015,CRC154442,Water Permit (s14),New Consent,Issued - Active,,Water Take/Use,,Take Surface Water,136350,,17.7,,,1569415,5204921
1462843.46,5101189.421,CRC176502,Water Permit (s14),Full Transfer,Issued - Active,,Water Take/Use,,Take Surface Water,97500,,14,16130,25,1462843,5101189
1490433.175,5119395.198,CRC951932,Water Permit (s14),Renewal,Issued - Active,,Water Take/Use,,Take Surface Water,237134,,45,12150,7,1490433,5119395
