,RecordNo,ActivityType,WaterUse,IrrigationOf,PrimaryIrrigationType,IrrigatedAreaHa,MaxRateLs,VolumeM3,ConsecutiveDayPeriod
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167204,Use Groundwater,Irrigation,Pasture,Spray,298.0,186.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC162186,Use Groundwater,Irrigation,Pasture,Spray,247.0,170.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC161723,Use Groundwater,Irrigation,Pasture,Spray,209.0,126.0,99792.0,10.0
0,CRC167585,Use Groundwater,Irrigation,Pasture,Spray,174.0,141.0,,
0,CRC163271,Use Groundwater,Irrigation,Pasture,Spray,140.0,220.0,,
0,CRC172416,Use Groundwater,Irrigation,Pasture,Spray,272.5,139.9,84672.0,7.0
0,CRC172416,Use Groundwater,Irrigation,Pasture,Spray,272.5,139.9,84672.0,7.0
0,CRC992662.2,Use Groundwater,Irrigation,Cropping,Spray,340.0,210.0,18144.0,1.0
